Date / Time,City,State,Shape,Duration,Summary,Posted
9/17/2014 20:50,New Bern,NC,Triangle,3 minutes,"Triangular shape, with yellow lights in each corner.",9/18/2014
9/17/2014 20:40,Marksville,LA,Unknown,15 minutes,Fleet of 30+ ufo's!!!!!!,9/18/2014
9/17/2014 20:35,Valley,AL,Light,3 minutes,"Flying stars, not shooting stars, I know the diff...",9/18/2014
9/17/2014 20:15,Lumberton,MS,Light,90 seconds,I observed an aircraft following a dull red orange light as it traveres east to south west at dusk.,9/18/2014
9/17/2014 20:15,Cornelius,NC,Circle,5 minutes,"2 STATIONARY, REDDISH-ORANGE LIGHTS OBSERVED FOR 5 MINS.",9/18/2014
9/17/2014 20:00,St. Francisville,LA,Other,1 hour,"4 aircraft machines with 5 large, round, blue lights flying just above the trees.",9/18/2014
9/17/2014 20:00,Warrior,AL,Light,1 minute,"Large non-blinking light over Warrior, Alabama",9/25/2014
9/17/2014 20:00,Van Buren Twp,MI,Light,5 minutes,"Saw four bright orange lights fly over slowly, then climb and diappear.",9/25/2014
9/17/2014 7:20,Derry,NH,Unknown,,Unexplained lights seen near hot air balloons early in the morning. ((NUFORC Note: Possible reflection from glass? PD)),9/18/2014
9/17/2014 6:00,San Jose,CA,Fireball,45 seconds,Orange fireball.,9/18/2014
9/17/2014 4:45,Evansville,WI,Light,5 minutes,"Zig-zagging distant orangish-white object/light, transversing sky to horizon, at fast rate of speed.",9/18/2014
9/17/2014 3:00,Fairfield,CA,Other,1 hour,I noticed brighter yellow flashing lights so i grab binoculars and it resembled a police copter with red white and blue colors.,9/25/2014
9/16/2014 23:15,Omaha,NE,Triangle,30 minutes,"Flashing green, red, white lights moving unpredictably.",9/18/2014
9/16/2014 22:00,Ada,OK,Light,3 minutes,TWO BRIGHT STRANGE LIGHTS VISIBLE FROM ADA OKLAHOMA - HOVERING BRIGHT THEN ASCENDING TO THE SKY QUICKLY AND DIMMING OUT AS THEY ASCEND,9/18/2014
9/16/2014 21:27,Newburgh,NY,Circle,5 seconds,"Round, bright light, moving across sky, captured by sky-watching cameras.",9/18/2014
9/16/2014 21:00,Boise,ID,Circle,1-2 minutes,"Bright green light rose quickly, hovered, then descended slowly.",9/18/2014
9/16/2014 21:00,Fort Wayne,IN,Disk,15 minutes,Blue saucer above I-69 and DuPont Road exit.,9/18/2014
9/16/2014 20:40,Colorado Springs,CO,Light,4 minutes,"Low flying, bright lights that changed from white, red, blue and green.",9/18/2014
9/16/2014,Eagan,MN,Fireball,5 minutes,"Circular orange fireball moves slowly southwest, then northeast.",9/25/2014
9/16/2014 20:00,Murfreesboro,TN,Sphere,2 minutes,large gray colored sphere with 2 red blinking lights. Flying slowly.,9/18/2014
9/16/2014 20:00,Ottawa (Canada),ON,Unknown,1 hour,"Object multiple lights, different colors, following us.",9/18/2014
9/16/2014 19:30,Millry,AL,Light,20 seconds,2 bright lights in south Alabama.,9/18/2014
9/16/2014 19:00,Batavia,IL,Sphere,1 minute,"Shiny sphere following a plane turned 180 degrees, and vanished into the sky!",9/18/2014
9/16/2014 19:00,Webster,MA,Formation,10-15 seconds,"5 Bright Light Orbs in Webster, MA.",9/18/2014
9/16/2014 14:24,Anaheim,CA,Unknown,1 minute,"A UFO with 3 alternating red, and 3 white, lights flashing, floated across sky then vanished.",9/18/2014
9/16/2014 10:50,Pejë (Kosovo),,Cylinder,50 seconds,I can't tell something more about this what i saw but it was nnt flying so fast until i didn't saw it anymore.,9/18/2014
