"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"11/10/1994","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"4/3/1995","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/26/1981","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"11/1/1991","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"6/1/1971","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/1/1988","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/17/1984","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"3/2/1995","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"12/6/1975","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"7/1/1993","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"12/1/1999","6 ft","medium",6,72,529,71.7374614197531,"Obese"
"5/1/1978","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"5/31/1994","6 ft","thin",6,72,428.5,58.108699845679,"Obese"
"10/17/1958","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/15/1974","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"12/31/1975","9 ft","medium",9,108,529,31.8833161865569,"Obese"
"12/24/1983","11 ft","very heavy",11,132,1012,40.8308080808081,"Obese"
"1/1/1976","5 ft","heavy",5,60,648.5,126.637638888889,"Obese"
"2/23/1969","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"7/1/1949","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"5/15/1970","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/23/1962","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/21/1973","11 ft","very heavy",11,132,1012,40.8308080808081,"Obese"
"12/8/1958","7-8 ft","medium",8,96,529,40.3523220486111,"Obese"
"10/1/1960","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/1/1956","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"11/1/1975","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/27/1995","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/1/1996","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1988","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"5/1/1991","5 ft","heavy",5,60,648.5,126.637638888889,"Obese"
"8/1/1994","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"11/20/1969","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"8/1/1965","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"10/11/1941","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/1/1965","9-10 ft","medium",10,120,529,25.8254861111111,"Overweight"
"1/7/1970","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1955","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"8/1/1968","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"5/18/1969","9-10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"9/8/1959","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1948","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/15/1962","7-8 ft","medium",8,96,529,40.3523220486111,"Obese"
"6/26/1965","13 ft","heavy",13,156,648.5,18.7333785338593,"Normal"
"5/17/1968","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"8/1/1934","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/21/1966","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"7/3/1964","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"9/20/1969","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/1/1971","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/1/1971","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/1/1973","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"7/13/1974","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"10/1/1974","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/1/1975","7 ft","very thin",7,84,300,29.8894557823129,"Overweight"
